我刚双击开了那个文件，现在屏幕中间有个白色的框框，顶上还有个戴学士帽的小图标，这是让我干啥呀？,您好，这就是咱们系统的“大门”啦。那个白色框框是登录窗口，您得在里面输入账号密码才能进去管理学生。
我看到白框框里有两个能打字的地方，第一个格子该填什么呀？,第一个格子是“账号”栏。您鼠标点一下里面，然后用键盘输入您的账号，区分大小写
那下面那个格子是填密码的吧？密码是多少来着？,对的，第二个格子填密码。默认密码是一串数字 `123456`，您照着输进去就行。如果修改了密码，需要您输入您自己的密码
账号密码我都输好了，接下来按哪个按钮能进去？,您看这两个格子下面，有一个**蓝色的长条按钮**，上面写着“登录”两个字，鼠标左键点它一下就进去了。
我刚才好像手抖输错密码了，点登录没反应，反而在浏览器最顶上弹出来个提示，这是咋回事？,别着急，那是系统在提醒您“账号或密码错误”。您重新点一下密码那个格子，把里面的字删了，仔细再输一遍 账号密码试试。
我点完蓝色登录按钮后，屏幕黑了一下又变亮了，原来的白框框没了，这算是进去了吗？,算是进去了！那个登录的遮罩层消失了，您现在应该能看到分成了左右两半的大界面，这就说明登录成功啦。
进来了之后界面花里胡哨的，最左边这一长条深灰色的区域是管什么的？,左边这一竖条深灰色的叫“菜单栏”，就像咱们去饭店的点菜本一样。上面列着“仪表盘”、“学生管理”这些功能，想用哪个功能就点哪个字。
我怎么知道我现在正在用哪个功能呢？左边那几个字看着都差不多。,您看左边那几个字，哪个字的背景颜色比别的深，而且左边边上还有一条**竖着的蓝线**亮着，那就说明您现在就在哪个功能里。
屏幕最顶上那一条白色的，右边有个小圆圈头像，那是谁呀？,那显示的是现在的操作员，也就是您。旁边写着“管理员”，说明您现在的身份是最大的管理员，啥都能管。
我今天活儿干完了，想退出去，是直接关网页吗？还是有专门的按钮？,虽然直接关也行，但最好按规矩来。您看左边深灰色菜单栏的最底下，有一个**红色的按钮**，写着“退出登录”，点它一下就回到最开始那个登录界面了。
右边这一大片浅灰色的地方是干嘛用的？,右边这块最大的地方就是咱们的“办公桌”。您在左边点了什么功能，右边就会把具体的内容（比如名单、课表）摊开给您看。
刚进去的时候，右边显示了三个颜色的卡片，蓝色、绿色、紫色，这是啥意思？,这是“仪表盘”，就是给您报个数。蓝卡片告诉您总共有多少学生，绿卡片是今天的出勤率，紫卡片是今天的课程数。这页光看看就行，不用操作。
我想给班里加个新来的学生，该点左边哪个菜单？,您先在左边那条菜单里，找到“学生管理”这四个字，点它一下。
点进学生管理了，我要加人，按哪个按钮？,您往右边看，在屏幕的右上角有一个**蓝色的按钮**，上面写着“+ 新增学生”，点它。
点完新增按钮，屏幕中间弹出来个小白窗户，第一行让填姓名，我直接打字就行？,对，鼠标点一下“姓名”下面的框，把学生的名字（比如“张无忌”）打进去。
名字输完了，下面的“年级”和“班级”怎么填？我看它是个小方框。,那个不用打字。您点一下那个小方框，它会垂下来一个列表，您直接用鼠标选是“高一”还是“高二”，班级也是一样，点一下选“1班”或“2班”。
信息都选好了，怎么把这个学生存进去？,您看这个小白窗户的右下角，有个**蓝色的“保存”按钮**，点一下它，窗户就关上了，这人就加进去了。
加完人之后，页面右下角忽闪了一个提示，那是啥？,那是系统在跟您说“操作成功”，只要看到这个提示，就说明刚才那个人已经存到名单里了。
列表里人太多了，我想找个姓张的学生，一个个翻太累，有没有快办法？,有的。您看右边区域的左上角，有个白色的长条框，里面写着“搜索姓名...”。您在那里面输入“张”，下面列表里就只剩下姓张的学生了。
搜完之后，我想看回全部的学生，怎么弄？,您把刚才那个搜索框里的“张”字删掉，把框框清空，下面的名单就自动恢复成所有人了。
这里的学生名单是怎么排的？我看有的在上面有的在下面。,它是分好组的。先按年级分，比如高一的在一起；年级下面又按班级分，比如1班的一个方块，2班的一个方块，看起来很清楚。
